,country,state,city,price
0,India,Andaman and Nicobar Islands,Port Blair,85.83
1,India,Andhra Pradesh,Anantapur,106.72
2,India,Andhra Pradesh,Chittoor,107.61
3,India,Andhra Pradesh,Eluru,107.13
4,India,Andhra Pradesh,Guntur,106.87
5,India,Andhra Pradesh,Hyderabad,105.47
6,India,Andhra Pradesh,Kadapa,105.86
7,India,Andhra Pradesh,Kakinada,107.08
8,India,Andhra Pradesh,Kurnool,107.21
9,India,Andhra Pradesh,Machilipatnam,107.12
10,India,Andhra Pradesh,Nellore,107.22
11,India,Andhra Pradesh,Ongole,105.92
12,India,Andhra Pradesh,Srikakulam,106.63
13,India,Andhra Pradesh,Vizag,105.63
14,India,Andhra Pradesh,Vizianagaram,106.18
15,India,Arunachal Pradesh,Itanagar,88.8
16,India,Assam,Barpeta,91.83
17,India,Assam,Dibrugarh,92.26
18,India,Assam,Golaghat,91.54
19,India,Assam,Guwahati,91.39
20,India,Assam,Jorhat,91.96
21,India,Assam,Nagaon,92.65
22,India,Assam,Nalbari,92.03
23,India,Assam,Sibsagar,92.46
24,India,Assam,Silchar,91.98
25,India,Assam,Tezpur,91.83
26,India,Bihar,Araria,102.78
27,India,Bihar,Arrah,101.91
28,India,Bihar,Aurangabad,102.45
29,India,Bihar,Banka,102.37
30,India,Bihar,Begusarai,100.75
31,India,Bihar,Bettiah,102.69
32,India,Bihar,Bhagalpur,102
33,India,Bihar,Bihar Sharif,59.04
34,India,Bihar,Buxar,102.45
35,India,Bihar,Chapra,58.59
36,India,Bihar,Darbhanga,101.68
37,India,Bihar,Gaya,101.81
38,India,Bihar,Hajipur,101.1
39,India,Bihar,Jamui,102.36
40,India,Bihar,Jehanabad,101.52
41,India,Bihar,Katihar,102.45
42,India,Bihar,Khagaria,101.03
43,India,Bihar,Kishanganj,103.06
44,India,Bihar,Lakhisarai,102.44
45,India,Bihar,Madhepura,101.99
46,India,Bihar,Madhubani,101.99
47,India,Bihar,Motihari,102.35
48,India,Bihar,Munger,102.81
49,India,Bihar,Muzaffarpur,101.67
50,India,Bihar,Nawada,101.87
51,India,Bihar,Patna,101.04
52,India,Bihar,Purnia,102.43
53,India,Bihar,Samastipur,101.17
54,India,Bihar,Sasaram,102.4
55,India,Bihar,Sheikhpura,59.28
56,India,Bihar,Sheohar,102.19
57,India,Bihar,Sitamarhi,102.26
58,India,Bihar,Siwan,102.4
59,India,Bihar,Supaul,102.05
60,India,Chandigarh,Chandigarh,90.81
61,India,Chhattisgarh,Ambikapur,103.97
62,India,Chhattisgarh,Bijapur,94.54
63,India,Chhattisgarh,Bilaspur,103.54
64,India,Chhattisgarh,Dantewada,106.43
65,India,Chhattisgarh,Dhamtari,103.46
66,India,Chhattisgarh,Durg,103.16
67,India,Chhattisgarh,Jagdalpur,105.64
68,India,Chhattisgarh,Janjgir,103.06
69,India,Chhattisgarh,Jashpur,104.73
70,India,Chhattisgarh,Kanker,104.06
71,India,Chhattisgarh,Kawardha,103.81
72,India,Chhattisgarh,Korba,102.53
73,India,Chhattisgarh,Mahasamund,103.08
74,India,Chhattisgarh,Narayanpur,105.24
75,India,Chhattisgarh,Raigarh,103.81
76,India,Chhattisgarh,Raipur,102.84
77,India,Chhattisgarh,Rajnandgaon,103.62
78,India,Chhattisgarh,Surajpur,104.05
79,India,Dadra and Nagar Haveli,Silvassa,96.95
80,India,Daman and Diu,Daman,96.84
81,India,Delhi,Delhi,96.71
82,India,Delhi,Gurgaon,97.09
83,India,Delhi,Kanjhawala,96.71
84,India,Delhi,Preet Vihar,96.71
85,India,Delhi,Rajouri Garden,96.71
86,India,Delhi,Sadar Bazar,96.71
87,India,Delhi,Saket,96.71
88,India,Delhi,Shahdara,96.71
89,India,Delhi,Vasant Vihar,96.71
90,India,Goa,Margao,96.84
91,India,Goa,Panjim,97.31
92,India,Gujarat,Ahmedabad,99.41
93,India,Gujarat,Amreli,100.23
94,India,Gujarat,Anand,99.22
95,India,Gujarat,Bharuch,99.9
96,India,Gujarat,Bhavnagar,101.09
97,India,Gujarat,Bhuj,99.69
98,India,Gujarat,Dahod,100.56
99,India,Gujarat,Gandhinagar,99.62
100,India,Gujarat,Godhra,99.88
101,India,Gujarat,Himmatnagar,100.1
102,India,Gujarat,Jamnagar,99.35
103,India,Gujarat,Junagadh,100.08
104,India,Gujarat,Kheda,60.84
105,India,Gujarat,Mehsana,99.49
106,India,Gujarat,Navsari,99.55
107,India,Gujarat,Palanpur,99.41
108,India,Gujarat,Patan,99.46
109,India,Gujarat,Porbandar,99.88
110,India,Gujarat,Rajkot,99.19
111,India,Gujarat,Surat,99.3
112,India,Gujarat,Surendranagar,100.45
113,India,Gujarat,Vadodara,99.08
114,India,Haryana,Ambala,97.35
115,India,Haryana,Bhiwani,97.4
116,India,Haryana,Faridabad,97.39
117,India,Haryana,Fatehabad,97.83
118,India,Haryana,Hissar,97.53
119,India,Haryana,Jhajjar,96.93
120,India,Haryana,Jind,96.88
121,India,Haryana,Kaithal,96.9
122,India,Haryana,Karnal,96.52
123,India,Haryana,Kurukshetra,96.88
