,state,id,city
354,Rajasthan,239,Baran
359,Rajasthan,241,Bundi
376,Rajasthan,242,Sawai Madhopur
377,Rajasthan,242,Sikar
379,Rajasthan,243,Tonk
372,Rajasthan,244,Karauli
363,Rajasthan,245,Dholpur
356,Rajasthan,246,Bharatpur
352,Rajasthan,247,Alwar
362,Rajasthan,248,Dausa
67,Chhattisgarh,249,Jagdalpur
64,Chhattisgarh,250,Dantewada
70,Chhattisgarh,251,Kanker
65,Chhattisgarh,252,Dhamtari
77,Chhattisgarh,253,Rajnandgaon
66,Chhattisgarh,254,Durg
426,Uttar Pradesh,255,Aligarh
73,Chhattisgarh,257,Mahasamund
71,Chhattisgarh,258,Kawardha
63,Chhattisgarh,259,Bilaspur
454,Uttar Pradesh,260,Jhansi
68,Chhattisgarh,261,Janjgir
75,Chhattisgarh,262,Raigarh
72,Chhattisgarh,263,Korba
78,Chhattisgarh,264,Surajpur
61,Chhattisgarh,265,Ambikapur
466,Uttar Pradesh,266,Mahoba
469,Uttar Pradesh,266,Mau
69,Chhattisgarh,267,Jashpur
433,Uttar Pradesh,268,Banda
475,Uttar Pradesh,269,Orai
80,Daman and Diu,270,Daman
428,Uttar Pradesh,271,Auraiya
442,Uttar Pradesh,273,Etah
443,Uttar Pradesh,273,Etawah
90,Goa,274,Margao
467,Uttar Pradesh,275,Mainpuri
95,Gujarat,279,Bharuch
104,Gujarat,282,Kheda
100,Gujarat,283,Godhra
445,Uttar Pradesh,284,Fatehpur
98,Gujarat,287,Dahod
101,Gujarat,289,Himmatnagar
105,Gujarat,290,Mehsana
107,Gujarat,291,Palanpur
457,Uttar Pradesh,292,Kanpur
108,Gujarat,293,Patan
112,Gujarat,294,Surendranagar
93,Gujarat,296,Amreli
486,Uttar Pradesh,297,Unnao
103,Gujarat,298,Junagadh
102,Gujarat,301,Jamnagar
97,Gujarat,302,Bhuj
434,Uttar Pradesh,303,Barabanki
481,Uttar Pradesh,306,Saharanpur
174,Jharkhand,307,Seraikela
473,Uttar Pradesh,308,Muzaffarnagar
437,Uttar Pradesh,309,Bijnor
429,Uttar Pradesh,310,Bagpat
470,Uttar Pradesh,311,Meerut
439,Uttar Pradesh,312,Bulandshahr
128,Haryana,313,Rewari
124,Haryana,314,Nuh
125,Haryana,315,Palwal
119,Haryana,318,Jhajjar
115,Haryana,319,Bhiwani
129,Haryana,320,Rohtak
131,Haryana,321,Sonepat
118,Haryana,322,Hissar
120,Haryana,323,Jind
127,Haryana,324,Panipat
130,Haryana,325,Sirsa
117,Haryana,326,Fatehabad
121,Haryana,327,Kaithal
122,Haryana,328,Karnal
123,Haryana,329,Kurukshetra
132,Haryana,330,Yamuna Nagar
126,Haryana,332,Panchkula
179,Karnataka,333,Bidar
138,Himachal Pradesh,334,Nahan
140,Himachal Pradesh,335,Solan
133,Himachal Pradesh,337,Bilaspur
135,Himachal Pradesh,338,Hamirpur
137,Himachal Pradesh,339,Mandi
136,Himachal Pradesh,340,Kullu
134,Himachal Pradesh,342,Chamba
201,Karnataka,343,Yadgir
196,Karnataka,344,Raichur
197,Karnataka,344,Ramanagara
292,Maharashtra,346,Ratnagiri
293,Maharashtra,348,Sangli
175,Karnataka,349,Bagalkot
191,Karnataka,349,Kolar
294,Maharashtra,350,Satara
265,Maharashtra,351,Ahmednagar
270,Maharashtra,352,Beed
295,Maharashtra,353,Solapur
176,Karnataka,356,Ballari
284,Maharashtra,357,Nanded
289,Maharashtra,358,Parbhani
277,Maharashtra,359,Hingoli
192,Karnataka,360,Koppal
298,Maharashtra,361,Washim
269,Maharashtra,362,Aurangabad
279,Maharashtra,363,Jalna
272,Maharashtra,364,Buldhana
266,Maharashtra,365,Akola
268,Maharashtra,366,Amravati
278,Maharashtra,367,Jalgaon
185,Karnataka,368,Dharwad
274,Maharashtra,369,Dhule
267,Maharashtra,370,Alibag
